eval_spend,eval_tiles,eval_armies,eval_s_spend,eval_s_tiles,iter,env_steps,secs,episodes,last_spend,mean_spend,last_tiles,last_armies,pg,vf,ent,kl,clipfrac,n,bc_kl,adv_mean,adv_std
nan,nan,nan,nan,nan,203,1017452,26204.7,420,10616.488666666668,9856.865222222223,22.0,1.0,0.0026,28.8748,3.1499,0.0073,0.0761,315,0.2372,-0.1248,5.51
nan,nan,nan,nan,nan,204,1029004,26489.5,424,14489.252000000006,12325.467333333336,36.0,6.0,0.0072,163.4299,3.6557,0.0083,0.092,361,0.274,5.9036,11.4739
nan,nan,nan,nan,nan,205,1040153,26760.4,428,7975.333333333332,9776.952666666668,22.0,3.0,0.009,193.8636,3.4795,0.0094,0.1031,349,0.2628,7.9004,11.6218
nan,nan,nan,nan,nan,206,1051279,27030.3,432,11741.328333333333,10892.010888888888,30.0,5.0,0.0056,151.1863,3.5207,0.012,0.129,348,0.2705,8.1733,9.3616
nan,nan,nan,nan,nan,207,1060772,27250.8,436,8415.354333333333,9193.36711111111,23.0,3.0,0.0032,12.1453,3.1913,0.0056,0.0647,297,0.2752,0.3656,3.5842
nan,nan,nan,nan,nan,208,1072785,27553.0,440,13297.32066666667,12334.389666666664,30.0,4.0,0.0072,149.2115,3.6622,0.0083,0.0909,376,0.2699,4.9766,11.2989
nan,nan,nan,nan,nan,209,1083701,27827.7,444,7616.7136666666665,11972.157444444441,16.0,1.0,0.006,240.6322,3.5934,0.0104,0.088,342,0.2878,7.2216,13.8543
11800.713666666665,9.0,8.5,12918.757000000001,20.0,210,1092744,28041.3,448,7486.442333333334,8149.984666666668,17.0,3.0,0.0036,62.1728,3.2319,0.0049,0.0634,283,0.2661,-3.0027,7.4368
nan,nan,nan,nan,nan,211,1104326,28456.1,452,8054.873666666667,10683.18622222222,18.0,2.0,0.0042,38.8832,3.6057,0.0064,0.0571,362,0.2588,2.8952,5.6373
nan,nan,nan,nan,nan,212,1115096,28719.6,456,8761.118,10162.027222222225,12.0,1.0,0.0068,20.4266,3.389,0.0107,0.1197,337,0.2325,-1.0839,4.5206
nan,nan,nan,nan,nan,213,1125206,28974.5,460,7220.052666666665,8708.609444444446,25.0,0.0,0.0067,16.6301,3.3432,0.0105,0.0995,316,0.2424,-2.3146,3.5165
nan,nan,nan,nan,nan,214,1134895,29214.0,464,9011.954,9125.036333333332,13.0,3.0,0.0071,27.9926,3.3182,0.0073,0.1008,303,0.291,-3.0229,4.5068
nan,nan,nan,nan,nan,215,1149382,29591.0,468,13907.118000000002,12354.324222222225,33.0,6.0,0.0037,184.4559,4.1628,0.0109,0.1175,453,0.3183,-1.0077,13.6657
